number,value,state,params_activation,params_batch_size,params_clip_grad_norm,params_dropout,params_hidden_dim_1,params_hidden_dim_2,params_hidden_dim_3,params_hidden_dim_4,params_hidden_dim_5,params_lr,params_n_layers,params_optimizer,params_scaler_type,params_use_batchnorm,params_weight_decay
53,0.3779203492850991,PRUNED,leaky_relu,128,2.6081182605572772,0.13975652360014015,448,448,384.0,160.0,512.0,0.0007197242035684188,5,adam,robust,False,1.0376757461933875e-07
54,0.37760498171131496,PRUNED,leaky_relu,128,2.4633843757462692,0.2905737284757865,480,480,320.0,256.0,,0.00019351960360894342,4,adam,robust,False,7.422347888871165e-07
55,0.38819927251064956,PRUNED,relu,64,2.152640166981919,0.24225574807962308,384,416,480.0,,,0.00013995606591105434,3,adam,robust,False,4.8882918325588e-06
56,0.36293371810654573,PRUNED,leaky_relu,128,3.3619140149482867,0.2095338268388767,448,512,128.0,32.0,416.0,4.151146921049692e-05,5,adamw,standard,True,2.0385645635899192e-07
57,0.3820536255130441,PRUNED,relu,32,2.9184236147604934,0.1829294426724027,320,416,352.0,224.0,192.0,7.378645977895876e-05,5,adam,standard,False,8.67991725966064e-06
58,0.39369924881283186,PRUNED,leaky_relu,64,0.7383754138726986,0.0012747265670780689,416,480,160.0,288.0,,0.00035763182564492604,4,adam,standard,False,1.5749331264658663e-05
59,0.37208763433331327,PRUNED,gelu,256,1.5917181942486471,0.2626531647406955,480,192,,,,0.0008783473795012452,2,adamw,robust,False,3.557702782085972e-07
60,0.3718185821000274,PRUNED,relu,32,1.019469321138632,0.11488517119852999,64,288,256.0,160.0,448.0,1.3931714880082613e-05,5,adam,standard,False,2.7625695534460583e-05
61,0.3799451456493815,PRUNED,leaky_relu,128,2.040275195481551,0.15694661285330444,288,448,448.0,352.0,,2.3093566184478052e-05,4,adam,standard,False,2.796684485662235e-06
62,0.39038618811034204,PRUNED,leaky_relu,32,2.0512683708296002,0.036235588841589145,192,192,192.0,64.0,,0.001089495827291158,4,adam,robust,False,4.102067083118645e-05
63,0.3883585056994114,PRUNED,leaky_relu,32,2.216703145496105,0.05069196683063559,160,192,192.0,64.0,,0.0006089054075467607,4,adam,robust,False,1.6473199526835375e-05
64,0.3721916660188168,PRUNED,leaky_relu,32,1.344302893130817,0.07045464585497686,224,224,128.0,96.0,,0.000834829697868386,4,adam,robust,False,2.9601072450519217e-05
65,0.3810277443252304,PRUNED,leaky_relu,32,2.4099729293507814,0.0886149966382114,192,96,224.0,,,0.0004451999009429734,3,adam,robust,False,5.888809908497247e-05
66,0.382109562769129,PRUNED,leaky_relu,32,1.6928813118846626,0.04968794562695624,128,160,160.0,32.0,352.0,0.002194996755098881,5,adam,robust,False,1.3658803413482011e-06
67,0.37838841659204026,PRUNED,relu,64,1.8763044728901404,0.01683139723461305,224,256,96.0,96.0,,0.0002874338837344217,4,adamw,standard,True,5.355012989147985e-06
68,0.37694059195087737,PRUNED,leaky_relu,32,4.781699093797031,0.1299302936955793,256,160,192.0,384.0,480.0,6.225973008932317e-05,5,adam,robust,False,8.781286180814206e-07
69,0.37813493050508334,PRUNED,relu,32,0.6284705177992117,0.22229387470315037,96,512,288.0,,,0.0028226030420586963,3,adam,standard,False,4.1701388075571135e-05
70,0.37700307010294876,PRUNED,leaky_relu,64,4.296111614233669,0.27900397865567444,384,224,96.0,128.0,,0.0014415968425226526,4,adam,standard,False,1.361847461138125e-05
71,0.3821354188900944,PRUNED,gelu,32,1.1986934852407465,0.19964480733239376,320,384,160.0,192.0,384.0,0.0006297483809802204,5,adamw,standard,False,6.731809834539094e-06
72,0.39604684864137774,COMPLETE,leaky_relu,32,2.5983769240365127,0.21793213397989541,320,480,,,,0.0009237980454434094,2,adam,standard,False,0.00018487594194121424
73,0.37750239637423516,PRUNED,leaky_relu,32,2.5312896531338445,0.2489754984938456,352,480,,,,0.0011948057974365198,2,adam,standard,False,0.0004003398244331653
74,0.39750490758156753,COMPLETE,leaky_relu,32,2.32356923645467,0.38602540514996175,320,352,,,,0.0017426803787583814,2,adam,standard,False,0.00018073848892979683
75,0.3771919832041717,PRUNED,leaky_relu,32,2.308112946592422,0.43570614379761696,320,352,,,,0.004915388393130775,2,adam,standard,False,0.0007865144723692343
76,0.38089482048892437,PRUNED,leaky_relu,32,2.8604873250650216,0.41635404768035883,352,448,,,,0.001804094294177054,2,adam,standard,False,0.0002216272031455456
77,0.3789033886356554,PRUNED,relu,256,2.7301866146457496,0.17339220518310428,320,352,,,,0.00023168598539385305,2,adam,standard,False,0.0003365915223998872
78,0.3756001710264429,PRUNED,leaky_relu,32,3.484952831275201,0.18930882931477053,384,512,,,,0.00011750018435642158,2,adam,standard,False,0.00019161824408732146
79,0.3780274112736419,PRUNED,leaky_relu,32,1.492509720629551,0.37655883032156934,288,416,,,,0.003945197821176142,2,adam,standard,True,0.0007092249224663245
80,0.3766453579840087,PRUNED,relu,128,2.291561765840779,0.4724588738354913,352,480,,,,0.0005042258475688927,2,adamw,standard,False,0.0001744319311979598
81,0.389220717090806,PRUNED,leaky_relu,64,3.016269686357736,0.3872421016124232,416,320,,,,0.002423552656217252,2,adam,standard,False,0.00015351856390302587
82,0.3956046327792457,PRUNED,leaky_relu,32,2.1458655836947145,0.10818954615350158,256,448,,,,0.0009687697210480854,2,adam,standard,False,0.00011089760808589707
83,0.3750890604441842,PRUNED,leaky_relu,32,1.7798943473563176,0.2266041520341979,320,512,224.0,,,0.0007729674093220727,3,adam,standard,False,8.641512188351979e-06
84,0.3522333979141079,PRUNED,leaky_relu,32,2.6320182726994354,0.30382339407239944,352,480,64.0,320.0,288.0,0.0016687182749595166,5,adam,standard,False,0.0005765838582783581
85,0.3902335141096774,PRUNED,leaky_relu,32,2.4932444799997944,0.2130001492285303,288,256,,,,0.001166016699404803,2,adam,standard,False,8.04112970038812e-05
86,0.37438557064351635,PRUNED,leaky_relu,32,3.9972809201416672,0.07560130722725147,160,384,128.0,,,0.0009533561717408979,3,adam,robust,False,5.3537130511721445e-05
87,0.3903866167161274,PRUNED,leaky_relu,32,1.951230719245138,0.15066380552202138,384,288,32.0,224.0,480.0,9.010812522147829e-05,5,adam,standard,False,0.00012608396382185873
88,0.3786887885164243,PRUNED,relu,128,2.0534575676713063,0.3590373774787189,256,480,,,,0.0006650983561345509,2,adam,standard,False,1.1891460277952393e-05
89,0.37954045114599566,PRUNED,gelu,32,2.3827882728696426,0.24979148874930135,320,416,256.0,288.0,96.0,0.00016514189130399434,5,adamw,robust,False,2.1868616860372184e-05
90,0.38079800991621854,PRUNED,leaky_relu,256,3.24050895980884,0.05970280944755743,224,512,160.0,256.0,,0.0003307482872263998,4,adam,standard,False,3.274501820369447e-06
91,0.38160313092558124,PRUNED,leaky_relu,32,1.647877773964173,0.19975787647470408,64,224,224.0,,,0.008313769757192243,3,adam,standard,True,2.334103322114199e-06
92,0.378926241361353,PRUNED,leaky_relu,32,2.6261238285951003,0.23899473517928493,320,480,,,,0.0010085194160231183,2,adam,standard,False,0.00034285942649972106
93,0.3819797064559488,PRUNED,leaky_relu,32,2.537715456828253,0.21507127400385137,288,512,,,,0.00054017311747305,2,adam,standard,False,0.00026779746434061095
94,0.3953310241082962,COMPLETE,leaky_relu,32,2.715699963477034,0.27417656781055,352,448,,,,0.00137962214175211,2,adam,standard,False,6.813418833956365e-07
